[00:06:13.130 --> 00:06:13.610]   impossible
[00:06:13.610 --> 00:06:13.850]  ,
[00:06:13.850 --> 00:06:14.050]   it
[00:06:14.050 --> 00:06:14.390]   rightly
[00:06:14.390 --> 00:06:14.870]   deserves
[00:06:14.870 --> 00:06:15.040]   its
[00:06:15.040 --> 00:06:15.350]   place
[00:06:15.350 --> 00:06:15.470]   as
[00:06:15.470 --> 00:06:15.590]  ,
[00:06:15.590 --> 00:06:15.770]   you
[00:06:15.770 --> 00:06:16.010]   know
[00:06:16.010 --> 00:06:16.130]  ,
[00:06:16.130 --> 00:06:16.250]   in
[00:06:16.250 --> 00:06:16.430]   the
[00:06:16.430 --> 00:06:16.610]   pan
[00:06:16.610 --> 00:06:16.900]  the
[00:06:16.900 --> 00:06:16.910]  on
[00:06:16.910 --> 00:06:17.030]   of
[00:06:17.030 --> 00:06:17.330]   great
[00:06:17.330 --> 00:06:17.630]   human
[00:06:17.630 --> 00:06:18.360]   achievements
[00:06:18.360 --> 00:06:18.740]  .
[00:06:19.260 --> 00:06:19.260]
[00:06:19.260 --> 00:06:19.430]   And
[00:06:19.430 --> 00:06:19.650]  ,
[00:06:19.650 --> 00:06:19.650]   of
[00:06:19.650 --> 00:06:20.000]   course
[00:06:20.000 --> 00:06:20.110]  ,
[00:06:20.110 --> 00:06:20.280]   you
[00:06:20.280 --> 00:06:20.740]   named
[00:06:20.740 --> 00:06:20.790]   the
[00:06:20.790 --> 00:06:21.200]   projects
[00:06:21.200 --> 00:06:21.310]  ,
[00:06:21.310 --> 00:06:21.490]   the
[00:06:21.490 --> 00:06:21.890]   rockets
[00:06:21.890 --> 00:06:22.120]   that
[00:06:22.120 --> 00:06:22.700]   Blue
[00:06:22.700 --> 00:06:22.730]   Origin
[00:06:22.730 --> 00:06:22.810]   is
[00:06:22.810 --> 00:06:23.220]   working
[00:06:23.220 --> 00:06:23.330]   on
[00:06:23.330 --> 00:06:23.680]   after
[00:06:23.680 --> 00:06:23.850]   some
[00:06:23.850 --> 00:06:23.960]   of
[00:06:23.960 --> 00:06:24.210]   the
[00:06:24.210 --> 00:06:24.420]   folks
[00:06:24.420 --> 00:06:24.880]   involved
[00:06:24.880 --> 00:06:25.180]  .
[00:06:25.180 --> 00:06:25.230]   I
[00:06:25.230 --> 00:06:25.410]   don
[00:06:25.410 --> 00:06:25.540]  't
[00:06:25.540 --> 00:06:26.040]   understand
[00:06:26.040 --> 00:06:26.150]   why
[00:06:26.150 --> 00:06:26.300]   you
[00:06:26.300 --> 00:06:26.510]   didn
[00:06:26.510 --> 00:06:26.680]  't
[00:06:26.680 --> 00:06:26.760]   say
[00:06:26.760 --> 00:06:26.910]   New
[00:06:26.910 --> 00:06:26.960]   G
[00:06:26.960 --> 00:06:27.080]  ag
[00:06:27.080 --> 00:06:27.270]  arin
[00:06:27.270 --> 00:06:27.500]  .
[00:06:27.500 --> 00:06:27.690]   Is
[00:06:27.690 --> 00:06:28.110]   that
[00:06:28.110 --> 00:06:28.440]  ?
[00:06:28.440 --> 00:06:28.710]   There
[00:06:28.710 --> 00:06:28.820]  's
[00:06:28.820 --> 00:06:28.930]   an
[00:06:28.930 --> 00:06:29.370]   American
[00:06:29.370 --> 00:06:29.590]   bias
[00:06:29.590 --> 00:06:29.700]   in
[00:06:29.700 --> 00:06:29.860]   the
